Código;cod_campo;Campo;Disciplina;cod_disc;Area
4.4.2.;4.4.;;;2;Tecnología MG (sembradíos y ganado), clonamiento de ganado, selección asistida, dignóstico 
4.4.3.;4.4.;;;3;Ética relacionada a biotecnología agrícola
4.5.1.;4.5.;;4.5 Otras Ciencias Agrícolas;1;Otras Ciencias Agrícolas
5.1.1.;5.1.;Ciencias sociales;5.1 Psicología ;1;Psicología (incluye relaciones hombre-máquina)
5.1.2.;5.1.;;;2;Psicología (incluye terapias de aprendizaje, habla, visual y otras discapacidades físicas y mentales)
5.2.1.;5.2.;;5.2 Economía y Negocios;1;Economía
5.2.2.;5.2.;;;2;Econometría
5.2.3.;5.2.;;;3;Relaciones Industriales
5.2.4.;5.2.;;;4;Negocios y Management
5.3.1.;5.3.;;5.3 Ciencias de la Educación;1;Educación General (Incluye Capacitación, Pedagogía)
5.3.2.;5.3.;;;2;Educación Especial (Para estudiantes dotados y aquellos con dificultades de aprendizaje)
5.4.1.;5.4.;;5.4 Sociología;1;Sociologia
5.4.2.;5.4.;;;2;Demografía
5.4.3.;5.4.;;;3;Antropología
5.4.4.;5.4.;;;4;Etnología
5.4.5.;5.4.;;;5;Temas especiales (Estudio de Género, Temas Sociales, Estudios de la Familia, Trabajo Social)
5.5.1.;5.5.;;5.5 Derecho;1;Derecho
5.5.2.;5.5.;;;2;Penal
5.6.1.;5.6.;;5.6 Ciencias Políticas;1;Ciencias Políticas
5.6.2.;5.6.;;;2;Administración Pública
5.6.3.;5.6.;;;3;Teoría Organizacional
5.7.1.;5.7.;;5.7 Geografía Social y Económica;1;Ciencias Ambientales (Aspectos Sociales)
5.7.2.;5.7.;;;2;Geografía Económica y Cultural
5.7.3.;5.7.;;;3;Estudios Urbanos (Planificación y Desarrollo)
5.7.4.;5.7.;;;4;Planificación del Transporte y Aspectos Sociales del Transporte
5.8.1.;5.8.;;5.8 Periodismo y Comunicaciones;1;Periodismo
5.8.2.;5.8.;;;2;Ciencias de la Información (Aspectos Sociales)
5.8.3.;5.8.;;;3;Bibliotecología
5.8.4.;5.8.;;;4;Medios y Comunicación Social
5.9.1.;5.9.;;5.9 Otras Ciencias Sociales;1;Ciencias Sociales, Interdisciplinaria
5.9.2.;5.9.;;;2;Otras Ciencias Sociales
